id,passo,curriculo,accuracy_treinamento,accuracy_teste,acuracy_questao_0,acuracy_questao_1,acuracy_questao_2,acuracy_questao_3,acuracy_questao_4,porcentagem,tipoescolha,acao,rewardexecution,rewardtotal
438,6000,ExecucaoManual_Acao_4_exec_2,0.38,0.5224242424242425,0.6292191435768262,0.6566937119675457,0.6811301715438951,0.3146464646464647,0.33064109035840483,"1,1,1,1,1",manual,2,0,0
437,4500,ExecucaoManual_Acao_4_exec_2,0.48999998,0.501010101010101,0.6272040302267002,0.6353955375253549,0.6463168516649849,0.3,0.29631499242806664,"1,1,1,1,1",manual,2,0,0
436,3000,ExecucaoManual_Acao_4_exec_2,0.42999998,0.4534343434343434,0.5828715365239294,0.5816430020283976,0.6347124117053481,0.23484848484848486,0.2332155477031802,"1,1,1,1,1",manual,2,0,0
435,1500,ExecucaoManual_Acao_4_exec_2,0.32,0.4093939393939394,0.5032745591939547,0.5882352941176471,0.6039354187689203,0.18282828282828284,0.1691065118626956,"1,1,1,1,1",manual,2,0,0
434,0,ExecucaoManual_Acao_4_exec_2,0.099999994,0.1401010101010101,0.06599496221662468,0.24898580121703853,0.2346115035317861,0.07373737373737374,0.07773851590106007,"1,1,1,1,1",manual,2,0,0
433,100500,ExecucaoManual_Acao_4_exec_1,0.96,0.9572727272727273,1,1,1,0.8234106962663976,0.9630940343781598,"1,1,1,1,1",manual,2,0,0
432,99000,ExecucaoManual_Acao_4_exec_1,0.97999996,0.9512121212121212,1,1,1,0.8148335015136225,0.9413549039433772,"1,1,1,1,1",manual,2,0,0
431,97500,ExecucaoManual_Acao_4_exec_1,0.95,0.9482828282828283,1,1,1,0.7971745711402624,0.9443882709807887,"1,1,1,1,1",manual,2,0,0
430,96000,ExecucaoManual_Acao_4_exec_1,0.96,0.9528282828282828,1,1,1,0.8082744702320888,0.9560161779575329,"1,1,1,1,1",manual,2,0,0
429,94500,ExecucaoManual_Acao_4_exec_1,0.98999995,0.9498989898989899,0.9994972347913524,1,1,0.8037336024217961,0.9464105156723963,"1,1,1,1,1",manual,2,0,0
428,93000,ExecucaoManual_Acao_4_exec_1,0.96,0.9521212121212121,1,1,1,0.8123107971745711,0.948432760364004,"1,1,1,1,1",manual,2,0,0
427,91500,ExecucaoManual_Acao_4_exec_1,0.94,0.9484848484848485,1,1,1,0.8047426841574168,0.9378159757330637,"1,1,1,1,1",manual,2,0,0
